adatzivs,Ss po:lietv6r
adekvātums,O po:lietv1r
ādenieks,Oo po:lietv1r
adenilskābe,S po:lietv5r
adenoīdi,o po:lietv1d
adenovīruss,Oo po:lietv1r
adenozīnfosfāts,Oo po:lietv1r
adenozīntrifosfāts,Oo po:lietv1r
adenozīntrifosforskābe,S po:lietv5r
ādercirtis,Qq po:lietv2r
ādere,SsTt po:lietv5r
ādgrauzis,Qq po:lietv2r
adhēzija,S po:lietv4r
adhezivitāte,Ss po:lietv5r
adiantpaparde,Ss po:lietv5r
adījums,OoPp po:lietv1r
adīklis,QqRr po:lietv2r
ādinieks,Oo po:lietv1r
adipāts,Oo po:lietv1r
adipināts,Oo po:lietv1r
adipīnskābe,S po:lietv5r
adītājs,Oox po:lietv1r
adītava,Ss po:lietv4r
aditivitāte,Ss po:lietv5r
adjektivācija,S po:lietv4r
adjektivizācija,S po:lietv4r
adjektīvs,Oo po:lietv1r
adjunkts,Oo po:lietv1r
adjutants,Oox po:lietv1r
ādmine,Ss po:lietv5r
ādminis,Qq po:lietv2r
administrācija,Ss po:lietv4r
administrators,Oox po:lietv1r
administrētājs,Oox po:lietv1r
admirālis,Qq po:lietv2r
admiralitāte,Ss po:lietv5r
adopcija,S po:lietv4r
adoptācija,S po:lietv4r
adoptētājs,Oox po:lietv1r
adrenalīns,Oo po:lietv1r
adrenoblokators,Oo po:lietv1r
adresācija,Ss po:lietv4r
adresants,Oo po:lietv1r
adresāte,Ss po:lietv5r
adresāts,Oo po:lietv1r
adresējums,Oo po:lietv1r
adrese,Ss po:lietv5r
adresvedība,S po:lietv4r
adreštelpa,Ss po:lietv4r
adsorbāts,Oo po:lietv1r
adsorbcija,S po:lietv4r
adsorbents,Oo po:lietv1r
advente,S po:lietv5r
adventists,Oox po:lietv1r
advents,Oox po:lietv1r
adverbializācija,S po:lietv4r
adverbs,Oo po:lietv1r
advokāte,Ss po:lietv5r
advokāts,Oo po:lietv1r
advokatūra,Ss po:lietv4r
adžāriete,Ss po:lietv5r
adžārs,Oo po:lietv1r
aerācija,S po:lietv4r
aerators,Oo po:lietv1r
aeroballistika,S po:lietv4r
aerobika,S po:lietv4r
aerobioloģija,S po:lietv4r
aerobuss,Oo po:lietv1r
aerodinamika,S po:lietv4r
aerodinamiķis,Qqx po:lietv2r
aerodroms,Oo po:lietv1r
aerofobija,S po:lietv4r
aerofotoaparāts,Oo po:lietv1r
aerofotografēšana,S po:lietv4r
aerofotogrāfēšana,Ss po:lietv4r
aerofotogrāfija,Ss po:lietv4r
aerofotogrammetrija,S po:lietv4r
aerofotoizlūkošana,S po:lietv4r
aerofotokarte,Ss po:lietv5r
aerofotouzņēmums,Oo po:lietv1r
aerogrāfs,Oo po:lietv1r
aeroģenerators,Oo po:lietv1r
aerojonizācija,S po:lietv4r
aerokamanas,s po:lietv4d
aeroklubs,Oo po:lietv1r
aerolīts,Oo po:lietv1r
aeroloģija,S po:lietv4r
aeromehānika,S po:lietv4r
aerometrs,Oo po:lietv1r
aeronautika,S po:lietv4r
aeronauts,Oo po:lietv1r
aeronavigācija,S po:lietv4r
aeroparāde,Ss po:lietv5r
aeroplāns,O po:lietv1r
aeroplasts,Oo po:lietv1r
aerosēja,S po:lietv4r
aerosols,Oo po:lietv1r
aerostatika,S po:lietv4r
aerostats,Oo po:lietv1r
aerotaksometrs,Oo po:lietv1r
aerotanks,Oo po:lietv1r
afāzija,Ss po:lietv4r
afektācija,S po:lietv4r
afekts,Oo po:lietv1r
afēlijs,Oo po:lietv1r
afēra,SsTt po:lietv4r
aferēze,Ss po:lietv5r
afērists,OoPpx po:lietv1r
afgāniete,Ss po:lietv5r
afgānis,Qq po:lietv2r
afikss,Oo po:lietv1r
afinitāte,S po:lietv5r
afiša,SsTt po:lietv4r
afonija,Ss po:lietv4r
aforisms,OoPp po:lietv1r
afrikands,Oo po:lietv1r
afrikāniete,Ss po:lietv5r
afrikānis,Qq po:lietv2r
afrikāta,Ss po:lietv4r
afroamerikānis,Qq po:lietv2r
afrocentrisms,O po:lietv1r
afvilīts,O po:lietv1r
agaragars,Oo po:lietv1r
agaroze,Ss po:lietv5r
agarskābe,S po:lietv5r
agars,Oo po:lietv1r
agave,Ss po:lietv5r
aglomerācija,S po:lietv4r
aglomerāts,Oo po:lietv1r
aglomerētājs,Oox po:lietv1r
aglonietis,Qqx po:lietv2r
agloporīts,Oo po:lietv1r
aglutinācija,S po:lietv4r
aglutinīns,Oo po:lietv1r
agnosticisms,O po:lietv1r
agnostiķis,Qqx po:lietv2r
agonija,S po:lietv4r
agorafobija,Ss po:lietv4r
agrārbanka,S po:lietv4r
agrārbiedrība,Ss po:lietv4r
agrārietis,Qqx po:lietv2r
agrārjautājums,O po:lietv1r
agrārpolitika,Ss po:lietv4r
agrārpolitiķis,Qqx po:lietv2r
agrārreforma,Ss po:lietv4r
agrārvalsts,Ss po:lietv6r
agrārvēsture,Ss po:lietv5r
agrārzinātne,Ss po:lietv5r
agrārzinātnieks,Oox po:lietv1r
agregācija,Ss po:lietv4r
agregātforma,Ss po:lietv4r
agregātindekss,Oo po:lietv1r
agregātmetode,Ss po:lietv5r
agregators,Oox po:lietv1r
agregāts,OoPp po:lietv1r
agregātstāvoklis,Qq po:lietv2r
agregātvērtība,Ss po:lietv4r
agresija,S po:lietv4r
agresivitāte,S po:lietv5r
agresors,Oox po:lietv1r
agroapgāde,Ss po:lietv5r
agrobioloģija,S po:lietv4r
agrobizness,O po:lietv1r
agrocenoze,Ss po:lietv5r
agrofirma,Ss po:lietv4r
agrokombināts,Oo po:lietv1r
agroķīmija,S po:lietv4r
agroķimikālija,Ss po:lietv4r
agroķīmiķis,Qqx po:lietv2r
agromeliorācija,Ss po:lietv4r
agromeliorators,Oo po:lietv1r
agrominimums,Oo po:lietv1r
agronome,Ss po:lietv5r
agronomija,S po:lietv4r
agronoms,OoPp po:lietv1r
agropilsēta,Ss po:lietv4r
agrorezerve,Ss po:lietv5r
agrorūpniecība,S po:lietv4r
agrosabiedrība,Ss po:lietv4r
agrotehnika,Ss po:lietv4r
agrotehniķis,Qqx po:lietv2r
agrovide,Ss po:lietv5r
agrozeme,Ss po:lietv5r
agrums,OoPp po:lietv1r
aģentēšana,Ss po:lietv4r
aģents,OoPpx po:lietv1r
aģentūra,Ss po:lietv4r
aģitācija,Ss po:lietv4r
aģitators,Oox po:lietv1r
aģitbrigāde,Ss po:lietv5r
aģīte,Ss po:lietv5r
aģitētājs,Oox po:lietv1r
aģitpunkts,Oo po:lietv1r
ahāts,OoPp po:lietv1r
ahromāts,Oo po:lietv1r
aicinājums,Oo po:lietv1r
aicinātājs,Oox po:lietv1r
aidenieks,Oo po:lietv1r
aidinieks,Oo po:lietv1r
aila,Ss po:lietv4r
aile,SsTt po:lietv5r
aina,SsTt po:lietv4r
ainava,SsTt po:lietv4r
ainavcirte,Ss po:lietv5r
ainavists,Oox po:lietv1r
ainavorientācija,S po:lietv4r
ainavparks,Oo po:lietv1r
ainavsaudze,Ss po:lietv5r
ainavzinātne,Ss po:lietv5r
ainažnieks,Oox po:lietv1r
aircaurums,Oo po:lietv1r
airējums,Oo po:lietv1r
airene,Ss po:lietv5r
airētājs,Oox po:lietv1r
airis,QqRr po:lietv2r
airīte,Ss po:lietv5r
airkājis,Qq po:lietv2r
airkājvēzis,Qq po:lietv2r
airsols,OoPp po:lietv1r
airvabole,Ss po:lietv5r
aisbergs,Oo po:lietv1r
aitāda,SsTt po:lietv4r
aitasgalva,Ss po:lietv4r
aita,SsTt po:lietv4r
aitkopēja,Ss po:lietv4r
aitkopējs,Oo po:lietv1r
aitkopība,S po:lietv4r
aitkopis,Qqx po:lietv2r
aizaizvakardiena,S po:lietv4r
aiza,SsTt po:lietv4r
aizaugums,Oo po:lietv1r
aizauss,Ss po:lietv6r
aizaustiņa,S po:lietv4r
aizbaidītājs,Oox po:lietv1r
aizbāzējs,Oo po:lietv1r
aizbāznis,QqRr po:lietv2r
aizbēdzējs,Oo po:lietv1r
aizbēgums,Oo po:lietv1r
aizbetonētājs,Oo po:lietv1r
aizbīdnis,Qq po:lietv2r
aizbildinājums,Oo po:lietv1r
aizbildne,Ss po:lietv5r
aizbildnība,S po:lietv4r
aizbildniecība,S- po:lietv4r
aizbildnis,Qq po:lietv2r
aizbildņvalsts,Ss po:lietv6r
aizbraucējs,Oox- po:lietv1r
aizceļotājs,Oox po:lietv1r
aizcietējums,Oo po:lietv1r
aizcirtums,OoPp po:lietv1r
aizdambējums,OoPp po:lietv1r
aizdare,SsTt po:lietv5r
aizdars,OoPp po:lietv1r
aizdedzējs,Oo po:lietv1r
aizdedze,Ss po:lietv5r
aizdedzināmība,S po:lietv4r
aizdedzinātājs,Oox po:lietv1r
aizdegune,Ss po:lietv5r
aizdevējbanka,Ss po:lietv4r
aizdevējiestāde,Ss po:lietv5r
aizdevējs,OoPp po:lietv1r
aizdevums,OoPp po:lietv1r
aizdomas,s po:lietv4d
aizdoma,Ss po:lietv4r
aizdomība,Ss po:lietv4r
aizdomīgums,Oo po:lietv1r
aizdurve,Ss po:lietv5r
aizdusa,S po:lietv4r
aizdziedātājs,Oox po:lietv1r
aizdzinējs,Oo po:lietv1r
